Date,Sleep,Caffeine,Mood
21-Jul,7,0,3.5
22-Jul,8,0,3.5
23-Jul,7,0,3.75
24-Jul,7.5,0,4
28-Jul,6,100,4
29-Jul,6.75,0,3.5
30-Jul,8,0,3.5
31-Jul,8,0,4
1-Aug,7,100,4
4-Aug,4,150,4.5
5-Aug,8,0,4
6-Aug,8,0,3.25
7-Aug,8,100,4
8-Aug,7,0,4
11-Aug,6.5,0,4.5
12-Aug,7,0,4
13-Aug,8,0,4
14-Aug,8,0,4.75
18-Aug,5.5,100,3.5
19-Aug,6,0,3.75
20-Aug,7,0,3
21-Aug,8,0,4
22-Aug,7,0,4
25-Aug,7,0,3
26-Aug,7,0,3
27-Aug,7,100,4
28-Aug,7,0,3.75
29-Aug,7,0,3
1-Sep,8,0,4
2-Sep,4,100,3.5
3-Sep,6.5,0,3.5
4-Sep,8,0,3.5
8-Sep,8,0,4
9-Sep,8,0,4
10-Sep,6,0,4
11-Sep,6,40,3
15-Sep,6.5,100,3.5
16-Sep,8,0,3.5
17-Sep,8,10,3.5
18-Sep,7,100,3.5
22-Sep,7,100,4
23-Sep,7,100,4
24-Sep,8,80,4
25-Sep,6,100,3.5
26-Sep,7,100,4
29-Sep,8,100,5
2-Oct,6,100,4
3-Oct,7,100,3.5